"15313","Cepari",38620000
"15402","Cetățeni",34000000
"15448","Cicănești",28960000
"15493","Ciofrângeni",43350000
"15554","Ciomăgești",37680000
"15652","Cocu",58980000
"15741","Corbeni",61840000
"15830","Corbi",56520000
"15901","Coșești",64390000
"15983","Cotmeana",73720000
"16132","Cuca",49580000
"16329","Dâmbovicioara",63070000
"16365","Dârmănești",34150000
"16285","Davidești",41810000
"16427","Dobrești",39110000
"16454","Domnești",19840000
"16506","Drăganu",35230000
"16472","Dragoslavele",111450000
"16551","Godeni",31630000
"16613","Hârsești",51640000
"16659","Hârtiești",48820000
"16739","Izvoru",61180000
"16757","Leordeni",63010000
"16908","Lerești",142190000
"16944","Lunca Corbului",103580000
"17049","Mălureni",107040000
"13365","Mărăcineni",21550000
"17101","Merișani",63700000
"17209","Micești",43220000
"17254","Mihăești",64330000
"17334","Mioarele",33100000
"17398","Miroși",48110000
"17423","Morărești",48000000
"17496","Moșoaia",44320000
"17575","Mozăceni",70540000
"17619","Mușătești",98920000
"17726","Negrași",75250000
"17771","Nucșoara",437090000
"17824","Oarja",38570000
"17851","Pietroșani",49890000
"18028","Poiana Lacului",58510000
"17913","Poienarii de Argeș",21250000
"17968","Poienarii de Muscel",38600000
"18162","Popești",51670000
"18242","Priboieni",23020000
"20048","Raca",42600000
"18331","Rătești",79000000
"18411","Recea",63380000
"18475","Rociu",78510000
"18527","Rucăr",283620000
"18554","Sălătrucu",137870000
"18581","Săpata",47270000
"18670","Schitu Golești",25790000
"18741","Slobozia",62010000
"18778","Stâlpeni",36260000
"19114","Ștefan cel Mare",34290000
"18858","Stoenești",109210000
"18938","Stolnici",73620000
"19141","Șuici",34280000
"19007","Suseni",51100000
"19212","Teiu",44660000
"19249","Tigveni",49340000
"19338","Țițești",23500000
"19392","Uda",79360000
"19560","Ungheni",74790000
"19631","Valea Danului",31360000
"19695","Valea Iașului",20300000
"13524","Valea Mare Pravăț",60400000
"19793","Vedea",68440000
"19999","Vlădești",38940000
"20055","Vulturești",48080000
"20297","Municipiul Bacău",43190000
"20876","Municipiul Moinești",45830000
"20563","Municipiul Onești",52480000
"20778","Oraș Buhuși",39860000
"20821","Oraș Comănești",63870000
"22166","Oraș Dărmănești",270430000
"20910","Oraș Slănic Moldova",114130000
"20965","Oraș Târgu Ocna",48900000
"21007","Agăș",210400000
"21098","Ardeoani",27510000
"21123","Asău",307450000
"21196","Balcani",112980000
"21454","Bârsănești",70380000
"21249","Berești-Bistrița",37680000
"21338","Berești-Tazlău",66230000
"21418","Berzunți",56560000
"21506","Blăgești ",96320000
"21560","Bogdănești",32040000
"21597","Brusturoasa",109900000
"26338","Buciumi",28960000
"21668","Buhoci",50500000
"21757","Căiuți",134830000
"21720","Cașin",36880000
"21855","Cleja",54710000
"21891","Colonești",44680000
"21971","Corbasca",62620000
"22059","Coțofănești",66230000
"22111","Dămienești",39330000
"22237","Dealu Morii",70470000
"22380","Dofteana",173970000
"22460","Faraoani",38920000
"22488","Filipeni",73680000
"22576","Filipești",69080000
"22665","Găiceana",73560000
"22781","Gârleni",35940000
"22718","Ghimeș-Făget",164430000
"26346","Gioseni",28950000
"22834","Glăvănești",67210000
"20607","Gura Văii",68080000
"22898","Helegiu",80690000
"20313","Hemeiuș",27910000
"22941","Horgești",59670000
"23047","Huruiești",55230000
"26379","Itești",30000000
"23127","Izvoru Berheciului",57130000
"20359","Letea Veche",42500000
"23207","Lipova",54170000
"23289","Livezi",57930000
"23350","Luizi-Călugăra",31630000
"23387","Măgirești",33210000
"20411","Măgura",24070000
"23449","Mănăstirea Cașin",243270000
"20466","Mărgineni",83510000
"23494","Motoșeni",104520000
"23644","Negri",39180000
"23715","Nicolae Bălcescu",54630000
"26353","Odobesti",43840000
"23797","Oituz",202930000
"23868","Oncești",47470000
"23948","Orbeni",57370000
"23975","Palanca",93010000
"24187","Pâncești",70370000
"24034","Parava",45720000
"24276","Pârgărești",21240000
"24089","Parincea",65080000
"24338","Pârjol ",54250000
"24427","Plopana",57730000
"24524","Podu Turcului",89470000
"24631","Poduri",72730000
"26361","Prajesti",19840000
"24766","Răcăciuni ",81780000
"24837","Răchitoasa",117230000
"24711","Racova",33960000
"24999","Roșiori",45750000
"25148","Sănduleni",44680000
"26320","Sărata",24800000
"25068","Sascut",107840000
"25228","Săucești",52260000
"25291","Scorțeni",44520000
"25362","Secuieni",50130000
"25488","Solonț",52100000
"25521","Stănișești",81080000
"20670","Ștefan cel Mare",70070000
"25629","Strugari",59030000
"25692","Tamași",46800000
"25825","Târgu Trotuș",32100000
"25745","Tătărăști",55260000
"25861","Traian",35960000
"25932","Ungureni",86380000
"26029","Urechești",61410000
"26083","Valea Seacă",47960000
"26118","Vultureni",72810000
"26289","Zemeș",107140000
"26564","Municipiul Oradea",115560000
"26804","Municipiul Beiuș",24460000
"26877","Municipiul Marghita",83730000
"26975","Municipiul Salonta",170040000
"26699","Oraș Aleșd",71950000
"26920","Oraș Nucet",41110000
"30915","Oraș Săcueni",151400000
"26840","Oraș Ștei",6570000
"32027","Oraș Valea Lui Mihai",73450000
"27007","Oraș Vașcău",65040000
"27070","Abram",67670000
"27169","Abrămuț",45670000
"26742","Aștileu",58820000
"27212","Aușeu",72580000
"27285","Avram Iancu",82170000
"27329","Balc",79080000
"27383","Batăr",126490000
"27436","Biharia",63370000
"27506","Boianu Mare",41330000
"27560","Borod",105620000
"27631","Borș",43410000
"27686","Bratca",136480000
"27757","Brusturi",103430000
"27846","Budureasa",346460000
"27908","Buduslău",43820000
"27935","Bulz",99390000
"27971","Buntești",73860000
"28077","Căbești",71180000
"28709","Câmpani",44490000
"28139","Căpâlna",54890000
"28193","Cărpinet",69190000
"28246","Cefa",76420000
"28335","Ceica",81830000
"28415","Cetariu",65340000
"28497","Cherechiu",53850000
"28530","Chișlaz",72050000
"28610","Ciuhoi",58310000
"28665","Ciumeghiu",110280000
"28763","Cociuba Mare",74380000
"28816","Copăcel",74760000
"28889","Criștioru de Jos",101710000
"28941","Curățele",91100000
"29001","Curtuișeni",69370000
"29038","Derna",49210000
"29092","Diosig",89440000
"29154","Dobrești",134390000
"29243","Drăgănești",36670000
"29341","Drăgești ",52680000
"29403","Finiș",104710000
"32195","Gepiu",43850000
"29467","Girișu de Criș",45620000
"29519","Hidișelu de Sus",89970000
"29573","Holod",66070000
"29662","Husasău de Tinca",115990000
"29724","Ineu",49510000
"29813","Lăzăreni",80050000
"29760","Lazuri de Beiuș",58920000
"29902","Lugașu de Jos",54200000
"29948","Lunca",69610000
"30014","Mădăras ",92750000
"30069","Măgești",51300000
"30149","Nojorid",125570000
"30229","Olcea",86090000
"30274","Oșorhei",64920000
"32161","Paleu",47860000
"30336","Pietroasa",205350000
"30416","Pocola",24350000
"30470","Pomezeu",55100000
"30568","Popești",108760000
"30648","Răbăgani",35400000
"30719","Remetea",66700000
"30773","Rieni",67110000
"30844","Roșia",72520000
"32187","Rosiori",50310000
