DUMACESTI,2002,57,2737
GOJEIESTI,2002,40,2746
HELERESTI,2002,68,2755
INCESTI,2002,58,2764
JOJEI,2002,38,2773
MARTESTI,2002,61,2782
ORGESTI,2002,51,2791
PATRUTESTI,2002,64,2808
PLAI,2002,40,2817
PUSELESTI,2002,15,2826
SOICESTI,2002,39,2835
STERTESTI,2002,8,2844
TARSA,2002,333,2853
TARSA-PLAI,2002,31,2862
VALEA MACIULUI,2002,9,2871
VALEA UTULUI,2002,26,2880
VERDESTI,2002,62,2899
VIDRISOARA,2002,90,2906
BERGHIN,2002,2169,2988
BERGHIN,2002,743,2997
GHIRBOM,2002,649,3002
HENIG,2002,394,3011
STRAJA,2002,383,3020
BISTRA,2002,5066,3039
BISTRA,2002,1955,3048
ARONESTI,2002,13,3057
BALESTI,2002,36,3066
BALESTI-CATUN,2002,82,3075
BARLESTI,2002,59,3084
CHELETENI,2002,12,3093
CIULDESTI,2002,269,3100
CRETESTI,2002,215,3119
DAMBURENI,2002,68,3137
DEALU MUNTELUI,2002,98,3128
DURASTI,2002,73,3146
GANESTI,2002,103,3155
GARDE,2002,399,3164
HODISESTI,2002,326,3173
HUDRICESTI,2002,122,3182
LIPAIA,2002,156,3191
LUNCA LARGA,2002,123,3208
LUNCA MERILOR,2002,153,3217
MIHAIESTI,2002,46,3226
NAMAS,2002,69,3235
NOVACESTI,2002,41,3244
PERJESTI,2002,15,3253
POIANA,2002,84,3262
POIU,2002,25,3271
RATITIS,2002,93,3280
RUNCURI,2002,17,3299
SALAGESTI,2002,48,3306
STEFANCA,2002,38,3315
TARANESTI,2002,76,3351
TOLACESTI,2002,20,3324
TOMNATEC,2002,17,3333
TRISORESTI,2002,105,3342
VARSI-RONTU,2002,30,3360
VARSII MARI,2002,12,3379
VARSII MICI,2002,68,3388
BLANDIANA,2002,1187,3397
BLANDIANA,2002,696,3404
ACMARIU,2002,444,3413
IBRU,2002,3,3422
POIENI,2002,9,3431
RACATAU,2002,35,3440
BUCIUM,2002,1792,3459
BUCIUM,2002,115,3468
ANGHELESTI,2002,63,3477
BISERICANI,2002,30,3486
BUCIUM-SAT,2002,185,3495
CERBU,2002,121,3501
CIUCULESTI,2002,57,3510
COLESENI,2002,69,3529
DOGARESTI,2002,15,3538
FERESTI,2002,37,3547
FLORESTI,2002,25,3556
GURA IZBITEI,2002,20,3565
HELESTI,2002,31,3574
IZBICIOARA,2002,15,3583
IZBITA,2002,61,3592
JURCUIESTI,2002,8,3609
LUPULESTI,2002,38,3618
MAGURA,2002,27,3627
MUNTARI,2002,3,3636
PETRENI,2002,6,3645
POIANA,2002,33,3654
POIENI,2002,141,3663
STALNISOARA,2002,23,3672
VALCEA,2002,38,3752
VALEA ABRUZEL,2002,122,3681
VALEA ALBA,2002,106,3690
VALEA CERBULUI,2002,82,3707
VALEA NEGRILESII,2002,84,3716
VALEA POIENII,2002,48,3725
VALEA SESII,2002,174,3734
VALENI,2002,15,3743
CALNIC,2002,3007,4106
CALNIC,2002,1328,4115
CUT,2002,1254,4124
DEAL,2002,425,4133
CENADE,2002,1015,3761
CENADE,2002,1005,3770
CAPU DEALULUI,2002,3,3789
GORGAN,2002,7,3798
CERGAU,2002,1747,3805
CERGAU MARE,2002,1052,3814
CERGAU MIC,2002,370,3823
LUPU,2002,325,3832
CERU-BACAINTI,2002,376,3841
CERU-BACAINTI,2002,94,3850
BOLOVANESTI,2002,25,3869
BULBUC,2002,27,3878
CUCUTA,2002,43,3887
CURPENI,2002,47,3896
DUMBRAVITA,2002,44,3903
FANTINELE,2002,21,3912
GROSI,2002,37,3921
VALEA MARE,2002,30,3930
VIEZURI,2002,8,3949
CETATEA DE BALTA,2002,3217,3958
CETATEA DE BALTA,2002,2005,3967
CRACIUNELU DE SUS,2002,179,3976
SANTAMARIE,2002,314,3985
TATARLAUA,2002,719,3994
CIUGUD,2002,2664,1071
CIUGUD,2002,469,1080
DRAMBAR,2002,384,1099
DUMBRAVA,2002,309,1106
HAPRIA,2002,486,1115
SEUSA,2002,639,1124
TELEAC,2002,377,1133
CIURULEASA,2002,1368,4008
CIURULEASA,2002,551,4017
BIDIGESTI,2002,46,4026
BODRESTI,2002,31,4035
BOGLESTI,2002,117,4044
BUNINGINEA,2002,140,4053
GHEDULESTI,2002,80,4062
MATISESTI,2002,150,4071
MORARESTI,2002,160,4080
VULCAN,2002,93,4099
CRACIUNELU DE JOS,2002,4392,4188
CRACIUNELU DE JOS,2002,2092,4197
BUCERDEA GRANOASA,2002,2235,4204
CORNU,2002,21,4213
PADURE,2002,25,4222
PANCA,2002,19,4231
CRICAU,2002,2097,4142
CRICAU,2002,1290,4151
CRAIVA,2002,373,4160
TIBRU,2002,434,4179
DAIA ROMANA,2002,3109,4240
DAIA ROMANA,2002,3109,4259
DOSTAT,2002,1072,4268
DOSTAT,2002,607,4277
BOZ,2002,445,4286
DEALU DOSTATULUI,2002,20,4295
FARAU,2002,1909,4302
FARAU,2002,599,4311
HERIA,2002,344,4320
MEDVES,2002,220,4339
SANBENEDIC,2002,356,4348
SILEA,2002,390,4357
GALDA DE JOS,2002,4882,4366
GALDA DE JOS,2002,2032,4375
BENIC,2002,524,4384
CETEA,2002,488,4393
GALDA DE SUS,2002,449,4400
LUPSENI,2002,37,4419
MAGURA,2002,32,4428
MESENTEA,2002,220,4437
OIEJDEA,2002,905,4446
POIANA GALDEI,2002,158,4455
RAICANI,2002,31,4464
ZAGRIS,2002,6,4473
GARBOVA,2002,2059,4482
GARBOVA,2002,1488,4491
CARPINIS,2002,292,4507
RECIU,2002,279,4516
GARDA DE SUS,2002,1865,4525
GARDA DE SUS,2002,361,4534
BIHARIA,2002,113,4543
DEALU FRUMOS,2002,73,4552
DEALU ORDINCUSII,2002,23,4561
DOBRESTI,2002,64,4570
