Judet;Localitate;Siruta;Total numar animale localitate;;;;Cate curti au un nr de bovine dintr-un interval;;;;Cate curti au un nr de ovine dintr-un interval;;;;Cate curti au un nr de caprine dintr-un interval;;;;Cate curti au un nr de porci dintr-un interval;;;
;;;bovine;ovine;caprine;porci;Intre 1 si 2;Intre 3 si 4;Intre 5 si 9;Peste 9;Intre 1 si 5;Intre 6 si 14;Intre 15 si 49;Peste 49;Intre 1 si 2;Intre 3 si 9;Intre 10 si 19;Peste 19;Intre 1 si 2;Intre 3 si 4;Intre 5 si 14;Peste 14
Alba;Bocsitura;1712;53;0;0;44;0;0;1;4;0;0;0;0;0;0;0;0;0;0;2;1
Alba;Bodesti;8247;130;14;0;88;6;14;10;1;6;0;0;0;0;0;0;0;3;2;9;0
Alba;Bogdanesti;5899;28;0;0;8;3;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0
Alba;Bogdanesti;8461;35;15;0;0;4;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0
Alba;Bolovanesti;3869;44;200;0;14;0;2;3;1;0;0;0;2;0;0;0;0;3;0;1;0
Alba;Boncesti;1473;62;0;0;5;7;7;4;0;0;0;0;0;0;0;0;0;1;1;0;0
Alba;Borlesti;1482;120;12;0;32;10;11;7;2;3;0;0;0;0;0;0;0;2;1;0;1
Alba;Botani;6645;9;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
Alba;Botesti;1491;135;7;2;19;8;12;10;1;2;0;0;0;2;0;0;0;10;0;1;0
Alba;Botesti;1954;16;189;8;38;2;2;1;0;0;1;1;2;3;1;0;0;0;2;1;1
Alba;Botesti;7222;14;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Boz;4286;543;2197;0;43;11;3;0;1;10;2;4;5;0;0;0;0;9;1;2;1
Alba;Bradeana;7491;150;3;4;1;9;10;15;0;1;0;0;0;0;1;0;0;1;0;0;0
Alba;Bradesti;6654;58;0;0;0;1;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Bradet;2336;40;136;0;5;3;0;5;0;0;0;0;1;0;0;0;0;0;0;1;0
Alba;Brazesti;2933;145;0;3;64;19;10;8;3;0;0;0;0;0;1;0;0;1;1;3;2
Alba;Bubesti;2416;96;0;0;49;5;6;5;2;0;0;0;0;0;0;0;0;4;1;6;0
Alba;Bucerdea Granoasa;4204;837;5475;0;1884;47;35;27;17;24;62;10;16;0;0;0;0;140;65;87;34
Alba;Bucerdea Vinoasa;4945;270;2835;1038;472;51;6;6;7;5;1;0;13;0;3;1;5;21;14;12;10
Alba;Bucium;3468;28;83;0;0;2;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0
Alba;Bucium-Sat;3495;118;4;0;49;8;6;11;1;1;0;0;0;0;0;0;0;0;0;1;1
Alba;Bucuru;1721;278;1422;0;47;4;5;6;14;1;1;2;8;0;0;0;0;2;1;4;0
Alba;Budaiesti;2167;189;0;0;80;0;7;19;3;0;0;0;0;0;0;0;0;2;4;9;0
Alba;Budeni;1963;8;0;1;9;4;1;0;0;0;0;0;0;1;0;0;0;1;2;0;0
Alba;Bulbuc;3878;26;535;0;28;3;0;2;1;0;1;1;4;0;0;0;0;3;0;2;0
Alba;Burzesti;8256;33;0;0;14;3;2;3;0;0;0;0;0;0;0;0;0;0;0;2;0
Alba;Burzonesti;7507;45;0;0;9;7;4;2;1;0;0;0;0;0;0;0;0;1;0;1;0
Alba;Butesti;4794;58;0;0;64;12;5;4;0;0;0;0;0;0;0;0;0;0;0;1;3
Alba;Butesti;5906;73;0;0;6;2;1;4;3;0;0;0;0;0;0;0;0;2;1;0;0
Alba;Calene;1730;180;1238;0;20;0;1;8;10;0;1;2;8;0;0;0;0;2;0;2;0
Alba;Calnic;4115;212;3636;175;281;21;7;6;6;6;9;4;9;1;0;1;1;9;11;10;6
Alba;Calugaresti;2639;94;0;0;38;3;11;9;0;0;0;0;0;0;0;0;0;0;0;3;1
Alba;Campeni;1464;817;261;28;291;45;22;13;3;7;2;4;2;0;1;2;0;33;7;5;3
Alba;Campu Goblii;8853;13;142;0;98;7;0;0;0;1;1;0;1;0;0;0;0;0;2;2;3
Alba;Capalna;7115;269;4603;1;148;14;7;15;7;0;2;2;13;1;0;0;0;20;3;5;3
Alba;Capalna de Jos;5130;37;6757;128;40;5;2;3;0;12;0;0;12;0;0;0;1;27;3;0;0
Alba;Captalan;6066;95;1135;51;244;14;5;4;1;34;14;1;4;1;0;0;1;33;11;6;3
Alba;Capu Dealului;3789;5;0;5;6;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
Alba;Capud;8121;98;1094;0;134;8;1;2;3;2;2;0;3;0;0;0;0;2;2;3;3
Alba;Carasti;2666;37;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Carpen;7963;0;142;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Alba;Carpinis;4507;1;1370;45;9;1;0;0;0;0;0;0;3;0;0;0;1;4;1;0;0
Alba;Cartulesti;2675;34;0;0;8;1;5;2;0;0;0;0;0;0;0;0;0;0;2;0;0
Alba;Casa de Piatra;2425;54;0;0;14;4;7;4;0;0;0;0;0;0;0;0;0;5;0;1;0
Alba;Casoaia;2648;28;0;0;4;2;2;3;0;0;0;0;0;0;0;0;0;0;1;0;0
Alba;Cenade;3770;322;7143;199;424;23;15;9;8;10;12;6;15;0;0;0;1;77;11;6;7
Alba;Cerbu;3501;84;15;10;0;3;4;8;1;0;2;0;0;0;0;1;0;0;0;0;0
Alba;Cergau Mare;3814;547;3842;0;393;36;10;13;15;0;1;0;15;0;0;0;0;3;4;18;7
Alba;Cergau Mic;3823;228;4590;0;234;21;14;11;4;1;3;6;24;0;0;0;0;4;4;9;3
Alba;Certege;1507;177;65;0;224;4;3;13;6;5;5;0;0;0;0;0;0;1;1;3;7
Alba;Ceru-Bacainti;3850;65;61;0;115;3;3;4;2;0;0;0;1;0;0;0;0;3;4;5;1
Alba;Cetatea de Balta;3967;261;3550;44;110;10;5;8;5;5;0;0;15;0;0;0;1;21;2;5;1
Alba;Cetea;4393;85;577;135;165;17;4;4;2;20;17;1;3;0;3;1;1;0;0;1;4
Alba;Cheile Cibului;2345;64;518;71;62;3;5;5;1;0;1;2;5;0;1;0;1;7;1;2;1
Alba;Cheleteni;3093;21;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Cib;2354;519;4800;747;328;14;16;33;16;2;8;10;28;4;13;4;13;30;13;11;7
Alba;Cicau;5773;143;344;7;65;8;3;3;2;8;3;1;2;1;1;0;0;11;6;2;0
Alba;Cindesti;2657;28;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Cioara de Sus;2942;132;0;0;0;7;4;9;2;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Ciocasu;8844;10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Cionesti;2176;143;0;0;81;3;7;14;2;0;0;0;0;0;0;0;0;2;3;8;0
Alba;Cistei;5728;54;2382;156;226;10;3;5;0;5;4;2;8;0;0;0;2;0;7;5;5
Alba;Cisteiu de Mures;1838;119;21;0;64;8;3;0;4;5;2;0;0;0;0;0;0;0;0;1;1
