JUDETUL ALBA,METES,VARVARA NICOLAE,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,5586
JUDETUL ALBA,MIHALT,CIRNAT MARIN,CONVENTIA DEMOCRATICA DIN ROMANIA,1996,5719
JUDETUL ALBA,MIRASLAU,PORCA MARIAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,5764
JUDETUL ALBA,MOGOS,TIMA AUREL,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,5835
JUDETUL ALBA,NOSLAC,CADAR IOAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,6057
JUDETUL ALBA,OCOLIS,BERINDEI IACOB,CONVENTIA DEMOCRATICA DIN ROMANIA,1996,6128
JUDETUL ALBA,OHABA,MIHALTAN NICOLAE,UNIUNEA SOCIAL DEMOCRATA PD(FSN) - PSDR,1996,6173
JUDETUL ALBA,PIANU,STANUS IOAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,6217
JUDETUL ALBA,POIANA VADULUI,HANES IOSIF,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,6280
JUDETUL ALBA,PONOR,BARB VALENTIN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,6404
JUDETUL ALBA,POSAGA,DOBOS-BOTAS CONSTANT,CONVENTIA DEMOCRATICA DIN ROMANIA,1996,6468
JUDETUL ALBA,RADESTI,MAIER AUREL,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,6556
JUDETUL ALBA,RAMET,DAN GHEORGHE,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,6636
JUDETUL ALBA,RIMETEA,SZOCS FRANCISC,UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA,1996,6609
JUDETUL ALBA,ROSIA DE SECAS,DAMIAN ILIE,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,6949
JUDETUL ALBA,ROSIA MONTANA,BOTAR DAVID,CONVENTIA DEMOCRATICA DIN ROMANIA,1996,6770
JUDETUL ALBA,SALCIUA,TIMA VICTOR,PARTIDUL UNITATII NATIONALE ROMANE,1996,6976
JUDETUL ALBA,SALISTEA,BADILA VASILE,UNIUNEA SOCIAL DEMOCRATA PD(FSN) - PSDR,1996,7053
JUDETUL ALBA,SASCIORI,DRAGHICIU VASILE,UNIUNEA SOCIAL DEMOCRATA PD(FSN) - PSDR,1996,7106
JUDETUL ALBA,SCARISOARA,POPA PASC,PARTIDUL DEMOCRAT AGRAR DIN ROMANIA,1996,7204
JUDETUL ALBA,SIBOT,HERLEA IOAN SIMION,CONVENTIA DEMOCRATICA DIN ROMANIA,1996,7829
JUDETUL ALBA,SANCEL,LATIU GHEORGHE,UNIUNEA SOCIAL DEMOCRATA PD(FSN) - PSDR,1996,7357
JUDETUL ALBA,SANTIMBRU,POPA IOAN IANCU,UNIUNEA SOCIAL DEMOCRATA PD(FSN) - PSDR,1996,7393
JUDETUL ALBA,SOHODOL,COROIU IOSIF,PARTIDUL UNITATII NATIONALE ROMANE,1996,7455
JUDETUL ALBA,SONA,CAPILNEAN ALEXANDRU,CONVENTIA DEMOCRATICA DIN ROMANIA,1996,7874
JUDETUL ALBA,SPRING,POPA IOAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,7954
JUDETUL ALBA,STREMT,LAZAR NICOLAE,PARTIDUL UNITATII NATIONALE ROMANE,1996,7776
JUDETUL ALBA,SUGAG,MUNTEAN ION-VIRGIL,UNIUNEA SOCIAL DEMOCRATA PD(FSN) - PSDR,1996,8023
JUDETUL ALBA,UNIREA,OPREA OVIDIU,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,8167
JUDETUL ALBA,VADU MOTILOR,BODEA CORNEL,CONVENTIA DEMOCRATICA DIN ROMANIA,1996,8238
JUDETUL ALBA,VALEA LUNGA,DULAU GHEORGHE,CONVENTIA DEMOCRATICA DIN ROMANIA,1996,8363
JUDETUL ALBA,VIDRA,OARGA V.IOAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,8434
JUDETUL ALBA,VINTU DE JOS,COLTOR IOAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,1996,8835
JUDETUL ALBA,MUNICIPIUL ALBA IULIA,HAVA MIRCEA GHEORGHE,PARTIDUL DEMOCRAT,2000,1017
JUDETUL ALBA,MUNICIPIUL AIUD,RUSU LIVIU OCTAVIAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,1213
JUDETUL ALBA,MUNICIPIUL BLAJ,SOLEA IOAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,1348
JUDETUL ALBA,ORAS ABRUD,DAVID STEFAN,ALIANTA PENTRU ROMANIA,2000,1151
JUDETUL ALBA,ORAS BAIA DE ARIES,MARZAN SILVIU,PARTIDUL NATIONAL LIBERAL,2000,2915
JUDETUL ALBA,ORAS CAMPENI,SICOE VIOREL IOAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,1455
JUDETUL ALBA,ORAS CUGIR,VOICU AUREL,CANDIDAT INDEPENDENT,2000,1696
JUDETUL ALBA,ORAS OCNA MURES,BUGNAR IOAN VASILE,PARTIDUL NATIONAL LIBERAL,2000,1794
JUDETUL ALBA,ORAS SEBES,SARBU MUGUREL LIVIU,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,1874
JUDETUL ALBA,ORAS TEIUS,MATEICA IACOB DORIN CORN,PARTIDUL DEMOCRAT,2000,8096
JUDETUL ALBA,ORAS ZLATNA,TREGER FELIX ADRIAN,ALIANTA PENTRU ROMANIA,2000,1936
JUDETUL ALBA,ALBAC,PASCA GHEORGHE,ALIANTA PENTRU ROMANIA,2000,2149
JUDETUL ALBA,ALMASU MARE,ZAHARIE ARON,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,2318
