LOPADEA NOUA,1992,3429
LUNCA MURESULUI,1930,2362
LUNCA MURESULUI,1956,2325
LUNCA MURESULUI,1966,2669
LUNCA MURESULUI,1977,2821
LUNCA MURESULUI,1992,2647
LUPSA,1930,5663
LUPSA,1956,5690
LUPSA,1966,5426
LUPSA,1977,4898
LUPSA,1992,4020
METES,1930,4302
METES,1956,4422
METES,1966,4148
METES,1977,3999
METES,1992,3318
MIHALT,1930,4315
MIHALT,1956,4251
MIHALT,1966,4342
MIHALT,1977,4559
MIHALT,1992,3872
MIRASLAU,1930,3967
MIRASLAU,1956,3913
MIRASLAU,1966,3550
MIRASLAU,1977,3329
MIRASLAU,1992,2495
MOGOS,1930,3188
MOGOS,1956,3091
MOGOS,1966,2788
MOGOS,1977,2201
MOGOS,1992,1534
NOSLAC,1930,3494
NOSLAC,1956,3855
NOSLAC,1966,3526
NOSLAC,1977,2982
NOSLAC,1992,2157
OCOLIS,1930,1794
OCOLIS,1956,1775
OCOLIS,1966,1656
OCOLIS,1977,1412
OCOLIS,1992,
OHABA,1930,2800
OHABA,1956,3264
OHABA,1966,2632
OHABA,1977,2079
OHABA,1992,1155
PIANU,1930,4312
PIANU,1956,3922
PIANU,1966,3871
PIANU,1977,4123
PIANU,1992,3552
POIANA VADULUI,1930,2984
POIANA VADULUI,1956,2184
POIANA VADULUI,1966,2137
POIANA VADULUI,1977,1830
POIANA VADULUI,1992,1466
PONOR,1930,1851
PONOR,1956,2016
PONOR,1966,1863
PONOR,1977,1401
PONOR,1992,
POSAGA,1930,2559
POSAGA,1956,2648
POSAGA,1966,2555
POSAGA,1977,1998
POSAGA,1992,1618
RADESTI,1930,2325
RADESTI,1956,2192
RADESTI,1966,1945
RADESTI,1977,1903
RADESTI,1992,1459
RIMETEA,1930,2330
RIMETEA,1956,2072
RIMETEA,1966,1840
RIMETEA,1977,1823
RIMETEA,1992,1393
RAMET,1930,2079
RAMET,1956,2159
RAMET,1966,2032
RAMET,1977,1555
RAMET,1992,
ROSIA MONTANA,1930,4362
ROSIA MONTANA,1956,4169
ROSIA MONTANA,1966,4591
ROSIA MONTANA,1977,4393
ROSIA MONTANA,1992,4146
ROSIA DE SECAS,1930,4043
ROSIA DE SECAS,1956,4278
ROSIA DE SECAS,1966,3521
ROSIA DE SECAS,1977,2752
ROSIA DE SECAS,1992,1783
SALCIUA,1930,2437
SALCIUA,1956,2494
SALCIUA,1966,2391
SALCIUA,1977,2191
SALCIUA,1992,1939
SALISTEA,1930,2933
SALISTEA,1956,2880
SALISTEA,1966,2813
SALISTEA,1977,3007
SALISTEA,1992,2374
SASCIORI,1930,6495
SASCIORI,1956,6327
SASCIORI,1966,5730
SASCIORI,1977,6019
SASCIORI,1992,5944
SCARISOARA,1930,5252
SCARISOARA,1956,3994
SCARISOARA,1966,3617
SCARISOARA,1977,2966
SCARISOARA,1992,2187
SANCEL,1930,3502
SANCEL,1956,3924
SANCEL,1966,3608
SANCEL,1977,3589
SANCEL,1992,2908
SANTIMBRU,1930,3545
SANTIMBRU,1956,3512
SANTIMBRU,1966,3446
SANTIMBRU,1977,3265
SANTIMBRU,1992,2661
SOHODOL,1930,4793
SOHODOL,1956,3804
SOHODOL,1966,3396
SOHODOL,1977,3088
SOHODOL,1992,2371
STREMT,1930,4076
STREMT,1956,3857
STREMT,1966,3605
STREMT,1977,3632
STREMT,1992,2930
SIBOT,1930,3140
SIBOT,1956,3222
SIBOT,1966,3113
SIBOT,1977,3121
SIBOT,1992,2564
SONA,1930,6288
SONA,1956,6717
SONA,1966,6309
SONA,1977,5939
SONA,1992,4647
SPRING,1930,5588
SPRING,1956,5467
SPRING,1966,4319
SPRING,1977,3629
SPRING,1992,2704
SUGAG,1930,2216
SUGAG,1956,3087
SUGAG,1966,3697
SUGAG,1977,6925
SUGAG,1992,4258
TEIUS,1930,6636
TEIUS,1956,6614
TEIUS,1966,7162
TEIUS,1977,7718
TEIUS,1992,7199
UNIREA,1930,6456
UNIREA,1956,6649
UNIREA,1966,6991
UNIREA,1977,7089
UNIREA,1992,5723
VADU MOTILOR,1930,1968
VADU MOTILOR,1956,2340
VADU MOTILOR,1966,2226
VADU MOTILOR,1977,2031
VADU MOTILOR,1992,1634
VALEA LUNGA,1930,5030
